X0,X1,Label
0.195351473,0.523404015,1
-0.521873408,0.408261189,0
0.753058914,0.191093144,1
-0.710660405,0.974573774,0
0.124941939,0.450524242,1
-0.769824278,0.711308748,0
-0.248641002,0.331685352,0
0.812225559,0.371510074,1
-0.509035069,0.977645473,0
-0.326971571,0.731044154,0
0.913539521,0.172522671,1
0.70927524,0.615424271,1
-0.840582278,0.154690474,0
0.899334961,0.784851299,1
0.509686076,0.228837906,1
0.307085391,0.521480915,1
-0.303480933,0.667120145,0
-0.500994215,0.355502923,0
-0.656415481,0.696344764,0
0.646942553,0.032198064,1
-0.930294318,0.166966203,0
-0.273283136,0.43244114,0
0.619516171,0.157003242,1
-0.740288812,0.053200871,0
0.950886018,0.28408088,1
-0.294125842,0.215693412,0
0.506075667,0.819429177,1
-0.309774569,0.440533467,0
0.670674533,0.498845035,1
0.648690816,0.922250725,1
-0.786563344,0.188167707,0
0.344572451,0.22900645,1
-0.783656284,0.577176362,0
0.434212748,0.670393211,1
-0.17380055,0.261329908,0
-0.606954914,0.500460302,0
-0.347610097,0.391996705,0
-0.540188556,0.457391321,0
-0.918664187,0.126188311,0
-0.539478091,0.512422012,0
0.399947927,0.058704301,1
-0.733491877,0.54762564,0
-0.434824901,0.436295667,0
0.788908994,0.188509632,1
-0.494915815,0.449768678,0
0.70563439,0.307992667,1
0.201811093,0.437369255,1
-0.68413582,0.369231785,0
0.448657516,0.267026662,1
-0.71079393,0.593765701,0
0.987095128,0.587167545,1
-0.377856501,0.130155933,0
-0.845506697,0.223915058,0
0.423888815,0.379656014,1
0.421296012,0.252927667,1
-0.672684522,0.772042689,0
-0.112076936,0.753279365,0
-0.14380888,0.575763148,0
0.892287612,0.958453341,1
-0.194505295,0.067056029,0
-0.109268633,0.825365996,0
-0.442488927,0.024987181,0
-0.332039897,0.67442143,0
0.777532638,0.242974486,1
-0.697845603,0.379931052,0
0.561729363,0.648379754,1
0.625099988,0.267413324,1
0.683763458,0.27048105,1
0.658057955,0.074213437,1
-0.805862596,0.121981348,0
0.239213845,0.089658323,1
0.334995958,0.659182034,1
-0.594434508,0.594965699,0
-0.226697036,0.47629914,0
0.724269478,0.086391108,1
-0.614795958,0.895999715,0
-0.254405744,0.690592733,0
-0.232265955,0.968603999,0
-0.113964027,0.682535905,0
0.604045826,0.420403389,1
0.85862125,0.687521205,1
-0.38265858,0.841341097,0
0.914803971,0.830293117,1
-0.946440804,0.445518845,0
0.150733859,0.411543132,1
0.401444991,0.820775207,1
0.117281029,0.018982982,1
0.781700555,0.953980648,1
-0.428067426,0.979864054,0
-0.915682025,0.790860509,0
0.881818444,0.155219654,1
-0.416561653,0.114506736,0
-0.717251668,0.820233736,0
-0.36676268,0.555245822,0
-0.756254759,0.701168371,0
-0.758463832,0.430374118,0
0.728958031,0.482675011,1
0.678363138,0.277591268,1
0.782716838,0.912462622,1
-0.28867053,0.089456863,0
0.62444318,0.835676294,1
0.669442037,0.450526641,1
-0.318228329,0.955105263,0
0.865973118,0.568313287,1
-0.176157063,0.425717788,0
0.801555833,0.683647782,1
-0.571777441,0.483849421,0
-0.182036495,0.540070225,0
0.130403093,0.647045876,1
-0.891805449,0.569051182,0
-0.826426566,0.882348138,0
-0.186391646,0.42475974,0
0.44967595,0.828812024,1
0.919569596,0.110623763,1
-0.860089715,0.552778425,0
-0.732478056,0.26717191,0
-0.10239605,0.636310168,0
-0.709095706,0.99155698,0
0.870173309,0.516555737,1
-0.654434369,0.108251011,0
-0.597555763,0.668404426,0
0.567037585,0.71301493,1
0.421147639,0.998284817,1
0.50641478,0.166317369,1
-0.998588447,0.618884804,0
-0.513467777,0.0324969,0
-0.859640964,0.714845319,0
-0.563148294,0.256777896,0
0.527989226,0.272492894,1
0.954839501,0.632590045,1
-0.523463508,0.094325695,0
0.580467185,0.191434854,1
-0.567665737,0.721221854,0
0.119638789,0.991865677,1
-0.129041911,0.789903996,0
-0.307642193,0.047990092,0
0.631346544,0.155223202,1
-0.671891086,0.928741412,0
0.976392016,0.801631448,1
0.838634217,0.083016864,1
-0.279139926,0.736655474,0
-0.32918521,0.122052734,0
0.231655833,0.944747353,1
-0.248965752,0.468291049,0
0.869694194,0.598907312,1
0.706292352,0.384138074,1
0.135329847,0.173513191,1
0.659631164,0.370833212,1
0.110289276,0.371984498,1
0.176573906,0.553803619,1
-0.677426543,0.879456359,0
0.202553549,0.66637317,1
0.320930862,0.301742159,1
0.747178812,0.465391582,1
-0.339673323,0.926392402,0
-0.61551887,0.122395486,0
0.416504983,0.586399377,1
0.187337925,0.455318497,1
-0.826080383,0.136298029,0
0.14146421,0.860993964,1
-0.717872953,0.353621862,0
-0.67660685,0.088367022,0
0.116539208,0.647369837,1
0.822198573,0.840509831,1
0.877265486,0.136746545,1
0.630737757,0.479348163,1
0.778660907,0.545668598,1
0.772393825,0.01397016,1
0.122973248,0.585509608,1
0.673861457,0.456016224,1
0.365332631,0.65938011,1
0.925883195,0.723128683,1
0.285088812,0.515064099,1
0.226902514,0.004648484,1
0.248580995,0.651740511,1
-0.114687637,0.571381185,0
0.599415316,0.023370531,1
-0.951018291,0.813732426,0
0.11532247,0.028849724,1
-0.119796968,0.946890735,0
0.25347438,0.873972142,1
0.949437356,0.842997353,1
-0.540432504,0.680904726,0
-0.403427262,0.168313133,0
0.663161995,0.520350812,1
-0.435429089,0.84634203,0
0.46986487,0.741727486,1
-0.298256282,0.506629408,0
0.201920173,0.410811441,1
-0.604736202,0.813759192,0
0.940262218,0.666881686,1
0.576221935,0.04217746,1
-0.927751936,0.932018782,0
0.721641614,0.187045673,1
-0.739141745,0.307629852,0
-0.945287851,0.823770521,0
-0.920049506,0.572625914,0
0.651921762,0.900129827,1
-0.718059022,0.508319241,0
-0.414114996,0.727659276,0
