,X0,X1,Label
101,-0.6067390303963587,0.47326414290331353,0.0
136,-0.7191631682310334,0.4125521326386501,0.0
124,-0.38278044489641805,0.5742867015423896,0.0
68,0.15353391314213832,0.05686825855479671,1.0
39,0.14003981198846094,0.8751247549512357,0.0
57,-0.7955399344974585,0.9374066071523072,0.0
83,-0.9641140195334936,0.4636685331999877,0.0
196,0.11298483624594402,0.23279559617219192,0.0
149,0.03560877109794913,0.4259758238963218,0.0
124,0.18447645211035513,0.9823698925355219,1.0
148,0.8059306878606445,0.1598908836320373,1.0
67,-0.10412804977808177,0.8419960654689002,0.0
172,0.6109121768403378,0.12983644715585452,1.0
188,0.1755255070094336,0.8526004980682932,1.0
65,0.5585354287337327,0.4532941620648733,1.0
69,0.8790514001621474,0.49677056867024927,1.0
80,-0.03843363607264905,0.14820933683431303,0.0
40,0.6504247626005399,0.5587321860739302,1.0
171,-0.14132701564103234,0.03191043354393275,1.0
107,0.1580494739820173,0.6405245764232809,1.0
63,-0.7550439156605556,0.15673507542532017,0.0
174,0.01985072438076052,0.767720393177249,1.0
154,0.5224631302676599,0.5469029136002721,1.0
44,-0.8792900921154159,0.9989234662357753,0.0
111,0.2470863472215183,0.9771609966732935,1.0
25,0.1607655500580199,0.8493050335510461,1.0
146,-0.6544115525914405,0.7052631498082855,0.0
183,0.7952114406754129,0.7795285170366578,1.0
161,0.4759961102476406,0.23988946077302842,1.0
163,0.28128647791618094,0.05657433779322041,1.0
135,0.24627989883097934,0.6653738977982928,1.0
117,-0.2695028723533115,0.12782624054965264,0.0
175,-0.14971088427581425,0.15060113112869322,0.0
8,0.15433970241146389,0.7590791412008646,0.0
134,0.26070251162448294,0.6364944725405055,1.0
134,-0.21181294610714818,0.1847237702038429,0.0
133,-0.2722897510310719,0.5199277618355053,0.0
38,-0.7407424138804966,0.8570885208231408,0.0
73,0.09145694460356202,0.9128843463967764,1.0
121,-0.35496762590216,0.72076647605745,0.0
94,0.5755736260084732,0.34822059534361505,1.0
152,0.09291223860112008,0.5852890156040977,1.0
105,-0.6753889378681641,0.06325802997593799,0.0
76,-0.10742901062177307,0.7723349551751472,1.0
128,0.6539903962056657,0.23803377021031435,1.0
129,0.7001139122133182,0.07963107957839133,1.0
59,0.7873874975454864,0.4110808649770491,1.0
9,-0.944851788156051,0.6987138013906313,0.0
49,0.039550172107356146,0.3236766473955166,1.0
66,-0.21118148595124064,0.5914854488483428,0.0
85,-0.7655345122044215,0.9440205415313583,0.0
135,-0.9664461875891178,0.6163679185185166,0.0
181,0.2493955790399745,0.6415395052337696,1.0
60,0.44056609906853633,0.2856272830864801,1.0
157,0.006385457104424119,0.8466321367623386,1.0
33,0.9833740121510628,0.32824016059821615,1.0
190,0.181395028105946,0.5176051836653104,0.0
71,0.09488204879467754,0.16882217803104638,0.0
70,-0.8295801746238722,0.5050352457907505,0.0
80,-0.13899447474262525,0.586004185262702,1.0
121,-0.06494815740498214,0.6973907388958649,1.0
146,0.6220533771238779,0.0046494427784016246,1.0
91,0.18247897421993015,0.9544750998747425,1.0
61,0.7024370429484899,0.17301741253748892,1.0
186,0.22240478093618554,0.47576299913270614,1.0
160,-0.15885888414934854,0.6300858888636842,1.0
125,-0.3353152006958259,0.8464252873355864,0.0
153,0.5113224105720029,0.8458857029615342,1.0
1,-0.05029253573020265,0.8648649887831654,0.0
13,-0.9656510592558387,0.8544768073181978,0.0
7,0.9484485723728662,0.1363676062534288,1.0
35,0.5135448181799884,0.9785347595403374,1.0
25,-0.6345600419220704,0.3154409084493117,0.0
82,0.45590645962265314,0.7063076178976212,1.0
94,0.09685288802057213,0.06357995665964333,0.0
199,0.6894107563774214,0.6389233115514846,1.0
7,-0.2634719162925041,0.5835493483366608,0.0
179,0.7915680721659142,0.23054798448080316,1.0
103,-0.17362580512630532,0.646324111438909,0.0
152,0.10729996147044707,0.3868132745256533,0.0
31,-0.3670560103673476,0.13520427121870515,0.0
60,-0.9143883400292764,0.46394895522785107,0.0
93,-0.2601868601041625,0.3296052173158246,0.0
38,0.11132787750508749,0.8403960286898289,1.0
179,0.046866320866379096,0.5153095207028265,0.0
50,0.7646546329698167,0.3992747750980409,1.0
31,0.8566177457251383,0.07377196101088013,1.0
130,0.5733781747921898,0.901854399603197,1.0
34,0.2841103074123464,0.9859932756221482,1.0
143,0.8313148175353766,0.2780576698624738,1.0
20,-0.6923453358300236,0.24574545875949683,0.0
187,0.545453296634806,0.31457601815439695,1.0
171,-0.882276805885639,0.0726736844284458,0.0
165,0.385567444902502,0.7354461813697563,1.0
156,-0.18272363594900332,0.2027396579818268,0.0
96,-0.5349658580991343,0.34358011382173004,0.0
187,-0.5248029305258846,0.6558468759891488,0.0
141,0.39856601808516806,0.06353033742407377,1.0
5,-0.03602192247202954,0.8963248579894938,1.0
9,0.013710112870438412,0.2818879497698106,1.0
12,-0.8227836493425578,0.7930279266788982,0.0
108,-0.19497633068707254,0.5802408997883078,1.0
10,-0.7788148683277994,0.6732103074260835,0.0
6,0.15392351809748694,0.4081116131332895,0.0
28,0.8879577764678641,0.559920805150612,1.0
175,0.09994644441354344,0.48613528140825124,1.0
75,0.12981429061408045,0.7913517948871178,0.0
151,-0.6919326755525097,0.6836523659372441,0.0
16,0.02225161927101804,0.609996620733812,0.0
64,0.3817452143959819,0.0753134621205066,1.0
176,0.1440574967221826,0.31655561527115783,0.0
198,0.8881480072143344,0.8360008796118855,1.0
14,0.3469006663970738,0.5246108001763333,1.0
8,0.8748435484921353,0.6411557832569775,1.0
112,0.9865937745298381,0.05200396685592512,1.0
106,0.6765348119435213,0.21919463997494915,1.0
105,-0.040885567887236546,0.6798934052883571,1.0
197,0.26243561493487116,0.9423447625100261,1.0
178,0.9264299479593494,0.6150229150533282,1.0
169,-0.6000148973545483,0.7068222801894286,0.0
65,-0.8301494653458723,0.6416782843889831,0.0
129,-0.6520375975692929,0.8232197343672313,0.0
48,0.7164702483135428,0.8715741599184619,1.0
156,0.9612217915925303,0.20530173184954936,1.0
0,0.31704103941980005,0.15778253253207886,1.0
32,0.16688079451065096,0.47623990792019577,1.0
47,-0.7718240752993688,0.31818831160718897,0.0
3,-0.777760499258215,0.46563025527457136,0.0
16,0.5704581183925723,0.7578268140298214,1.0
87,-0.09136563768364514,0.6184723913755502,0.0
191,0.3015860471653489,0.7126082917885678,1.0
100,-0.008581520420211236,0.34736320316068947,1.0
54,0.3363760020610829,0.5016883058337162,1.0
132,0.07433655509121095,0.9956254908671403,1.0
66,0.17028655299113837,0.23327224985452333,1.0
101,-0.15593952079537954,0.0034975943139817778,1.0
21,-0.8622354398002298,0.5344171282834775,0.0
153,-0.32451124367960016,0.10450244486044191,0.0
180,-0.7386115179570805,0.11650888528328318,0.0
62,-0.21279028060103955,0.277100371368721,0.0
40,-0.2851874879005747,0.1359473125123276,0.0
197,-0.8135927065231853,0.387915010840737,0.0
74,-0.9457990912400833,0.4770993991951028,0.0
96,0.4960150416941011,0.717527710771123,1.0
41,-0.28573199460858467,0.728180119201422,0.0
126,-0.539392160099547,0.17387947949681393,0.0
114,0.2839771586174061,0.058813368183233905,1.0
30,-0.5457821600870041,0.20667329816942082,0.0
194,-0.198420471960086,0.4682644012738143,1.0
168,-0.9223660057456895,0.612380583743854,0.0
161,-0.9440557526928879,0.5950347269075075,0.0
19,-0.7449446620642752,0.1174403539979536,0.0
12,0.7761554344239983,0.9172393435881335,1.0
89,-0.8812033315451082,0.6000792775189533,0.0
185,-0.19033640508532867,0.7468902761136398,0.0
20,0.9667357288302492,0.7724159489700904,1.0
34,-0.4018354865546645,0.5685429907495547,0.0
142,-0.28575122155355304,0.4190945659619548,0.0
168,0.0059755574477542706,0.44069947510483654,1.0
98,-0.4057242968758511,0.5514875913582375,0.0
155,0.04673175726561721,0.5748025386523989,1.0
69,-0.42413594037487945,0.5134597063251838,0.0
74,-0.05061189512616454,0.38635460387117493,1.0
142,0.3450647621986323,0.10540933278956965,1.0
75,0.5128256086467919,0.4318785960381384,1.0
140,0.4834858472362656,0.5877717517119477,1.0
166,0.0025182407083789993,0.5108926009696065,1.0
58,-0.22812652635378527,0.7557269487395128,0.0
43,0.302639267640819,0.10941134480412607,1.0
122,0.9446783446582208,0.66404599253711,1.0
37,0.004009655131746781,0.6719847716666818,0.0
78,-0.6420160840901135,0.06410920687349941,0.0
83,0.8700195319126145,0.6651912830885681,1.0
118,0.39009059723838097,0.4629616450908607,1.0
81,0.6447866650266594,0.7447137129445586,1.0
41,0.06183906077432283,0.4385644548211779,1.0
84,-0.37833948373418436,0.7156740617470021,0.0
111,0.031206834106275894,0.5951483652327223,0.0
132,-0.0159124545070235,0.6541384196924801,0.0
123,0.8948822654672484,0.714606635537553,1.0
170,-0.8211997336442743,0.3321884676165979,0.0
162,0.04216047686800822,0.22195452150373696,1.0
68,0.10195531410550696,0.1631010291296956,0.0
30,0.6413348070927394,0.8750028226481504,1.0
56,0.690118092167836,0.5905446922831866,1.0
99,-0.16440762532893088,0.1853987057900185,1.0
112,0.13977689773022517,0.6880422379362362,0.0
110,0.8664671038543623,0.7937843708938325,1.0
116,0.18538910787496699,0.9824126532455882,0.0
181,-0.2919280332528522,0.8640766833792218,0.0
28,-0.5683354387315549,0.8313793236075966,0.0
103,0.3899207747052767,0.8138689492254148,1.0
119,0.5966707650631644,0.5002738508473907,1.0
